58,27131,Minnesota,Rice,2020-06-23,4,758,44.3543376,-93.29658715
59,28035,Mississippi,Forrest,2020-06-23,42,737,31.18961454,-89.25832496
60,28051,Mississippi,Holmes,2020-06-23,37,491,33.12345854,-90.08923538
61,28093,Mississippi,Marshall,2020-06-23,3,144,34.76216286,-89.50299462
62,28115,Mississippi,Pontotoc,2020-06-23,3,146,34.226046000000004,-89.03636807
63,28117,Mississippi,Prentiss,2020-06-23,3,80,34.61810501,-88.51986294
64,28123,Mississippi,Scott,2020-06-23,14,707,32.406704100000006,-89.53789439
65,30023,Montana,Deer Lodge,2020-06-23,0,3,46.05953325,-113.073353
66,30061,Montana,Mineral,2020-06-23,0,0,47.15283992,-115.0015239
67,31009,Nebraska,Blaine,2020-06-23,0,0,41.91311716,-99.97677845
68,31021,Nebraska,Burt,2020-06-23,0,11,41.85056773,-96.32605633
69,31051,Nebraska,Dixon,2020-06-23,1,44,42.49188363,-96.86782408
70,31103,Nebraska,Keya Paha,2020-06-23,0,1,42.87990694,-99.71343729
71,31155,Nebraska,Saunders,2020-06-23,2,65,41.2278103,-96.63773905
72,31183,Nebraska,Wheeler,2020-06-23,0,0,41.91482725,-98.52798941
73,35001,New Mexico,Bernalillo,2020-06-23,82,1848,35.05163625,-106.6703554
74,35011,New Mexico,De Baca,2020-06-23,0,0,34.34274529,-104.4117842
75,36017,New York,Chenango,2020-06-23,5,141,42.49430041,-75.60887553
76,36087,New York,Rockland,2020-06-23,506,13529,41.15027894,-74.02560498
77,36109,New York,Tompkins,2020-06-23,0,175,42.44945765,-76.47229843
78,36113,New York,Warren,2020-06-23,30,262,43.56173026,-73.8433699
79,37015,North Carolina,Bertie,2020-06-23,4,138,36.0688473,-76.96545943
80,37027,North Carolina,Caldwell,2020-06-23,4,332,35.95204977,-81.54799522
81,37051,North Carolina,Cumberland,2020-06-23,36,1093,35.04762133,-78.82623165
82,37135,North Carolina,Orange,2020-06-23,41,572,36.06092947,-79.12167935
83,39071,Ohio,Highland,2020-06-23,1,39,39.1839264,-83.60331456
84,39113,Ohio,Montgomery,2020-06-23,20,1345,39.75394919,-84.29050975
85,39121,Ohio,Noble,2020-06-23,0,6,39.76818851,-81.45937183
86,40145,Oklahoma,Wagoner,2020-06-23,18,216,35.96024096,-95.51911308
87,41019,Oregon,Douglas,2020-06-23,0,34,43.27941273,-123.167291
88,42071,Pennsylvania,Lancaster,2020-06-23,350,4097,40.03904563,-76.24770128
89,42095,Pennsylvania,Northampton,2020-06-23,255,3293,40.75182733,-75.30471829
90,42097,Pennsylvania,Northumberland,2020-06-23,4,280,40.84785433,-76.70798222
91,42103,Pennsylvania,Pike,2020-06-23,20,480,41.33155042,-75.03208106
92,72045,Puerto Rico,Comerio,2020-06-23,0,3,18.224687,-66.221622
93,45015,South Carolina,Berkeley,2020-06-23,20,695,33.20222596,-79.94654523
94,46017,South Dakota,Buffalo,2020-06-23,0,66,44.07657829,-99.20814467
95,46095,South Dakota,Mellette,2020-06-23,0,2,43.58078848,-100.7563186
96,46125,South Dakota,Turner,2020-06-23,0,24,43.3109081,-97.14865776
97,47047,Tennessee,Fayette,2020-06-23,2,235,35.19615831,-89.41399032
98,47163,Tennessee,Sullivan,2020-06-23,2,77,36.51240691,-82.30412917
99,48001,Texas,Anderson,2020-06-23,2,840,31.81534745,-95.65354823
100,48081,Texas,Coke,2020-06-23,1,4,31.88911733,-100.5297533
